w,u,path
0.0265951743,4.0624e-06,0
0.0186595174,-0.0123537537,0
0.0186595174,-0.0123537537,0
0.0199463807,-0.0061829704,0
0.0199463807,-0.0061829704,0
0.025308311,-0.0024618135,0
0.025308311,-0.0024618135,0
0.029383378,-0.0210025999,0
0.029383378,-0.0210025999,0
0.0319571046,-0.0135927852,0
0.0319571046,-0.0135927852,0
0.0503306524,-0.0123537537,0
0.0503306524,-0.0123537537,0
0.0578373548,-0.0222416315,0
0.0578373548,-0.0222416315,0
0.0704200179,-0.023480663,0
0.0704200179,-0.023480663,0
0.0973726542,-0.0172976926,0
0.0973726542,-0.0172976926,0
0.1183199285,-0.0321335717,0
0.1183199285,-0.0321335717,0
0.1358355675,-0.0321335717,0
0.1358355675,-0.0321335717,0
0.156997319,-0.023480663,0
0.156997319,-0.023480663,0
0.1435567471,-0.0419605135,0
0.1435567471,-0.0419605135,0
0.1411974978,-0.0283677283,0
0.1411974978,-0.0283677283,0
0.1563538874,-0.0258856029,0
0.1563538874,-0.0258856029,0
0.1554959786,-0.0357775431,0
0.1554959786,-0.0357775431,0
0.1597855228,-0.0283514787,0
0.1597855228,-0.0283514787,0
0.1608579088,-0.0394824504,0
0.1608579088,-0.0394824504,0
0.1685790885,-0.0271124472,0
0.1685790885,-0.0271124472,0
0.1645040214,-0.0382434189,0
0.1645040214,-0.0382434189,0
0.1694369973,-0.0271124472,0
0.1694369973,-0.0271124472,0
0.1709383378,-0.0394702632,0
0.1709383378,-0.0394702632,0
0.1803038427,-0.029578323,0
0.1803038427,-0.029578323,0
0.1685790885,-0.0370043874,0
0.1685790885,-0.0370043874,0
0.1818051832,-0.0431751706,0
0.1818051832,-0.0431751706,0
0.1839499553,-0.0345263243,0
0.1839499553,-0.0345263243,0
0.1852368186,-0.0481191095,0
0.1852368186,-0.0481191095,0
0.1730116175,-0.0370043874,0
0.1730116175,-0.0370043874,0
0.1833065237,-0.0419361391,0
0.1833065237,-0.0419361391,0
0.1901697945,-0.0530630484,0
0.1901697945,-0.0530630484,0
0.1751563896,-0.0370043874,0
0.1751563896,-0.0370043874,0
0.1777301162,-0.0419483263,0
0.1777301162,-0.0419483263,0
0.2033958892,-0.0505890478,0
0.2033958892,-0.0505890478,0
0.1811617516,-0.0332872928,0
0.1811617516,-0.0332872928,0
0.1773011618,-0.0419483263,0
0.1773011618,-0.0419483263,0
0.1869526363,-0.0481191095,0
0.1869526363,-0.0481191095,0
0.1901697945,-0.046880078,0
0.1901697945,-0.046880078,0
0.18974084,-0.0382312317,0
0.18974084,-0.0382312317,0
0.1884539768,-0.0444142021,0
0.1884539768,-0.0444142021,0
0.1995352994,-0.0456410465,0
0.1995352994,-0.0456410465,0
0.1995352994,-0.0505890478,0
0.1995352994,-0.0505890478,0
0.1798748883,-0.0370043874,0
0.1798748883,-0.0370043874,0
0.1973905273,-0.0431751706,0
0.1973905273,-0.0431751706,0
0.195746202,-0.0431751706,0
0.195746202,-0.0431751706,0
0.1929579982,-0.0567720182,0
