u,sign,path
7.12547e-05,311.817591691,0
-0.0122973695,310.311587147,0
-0.0122973695,310.311587147,0
-0.0061189953,315.611814346,0
-0.0061189953,315.611814346,0
-0.0024078143,305.0016228497,0
-0.0024078143,305.0016228497,0
-0.0209548127,310.3018500487,0
-0.0209548127,310.3018500487,0
-0.0135324506,315.611814346,0
-0.0135324506,315.611814346,0
-0.0122973695,317.8740668614,0
-0.0122973695,317.8740668614,0
-0.0221988005,298.1791626095,0
-0.0221988005,298.1791626095,0
-0.0234309127,301.9636481662,0
-0.0234309127,301.9636481662,0
-0.0172436316,311.817591691,0
-0.0172436316,311.817591691,0
-0.0320883558,292.1129503408,0
-0.0320883558,292.1129503408,0
-0.0320883558,296.6634209672,0
-0.0320883558,296.6634209672,0
-0.0234309127,295.1509250243,0
-0.0234309127,295.1509250243,0
-0.041927439,291.3631937683,0
-0.041927439,291.3631937683,0
-0.0283237337,285.2969814995,0
-0.0283237337,285.2969814995,0
-0.0258387269,286.0564751704,0
-0.0258387269,286.0564751704,0
-0.0357401579,282.259006816,0
-0.0357401579,282.259006816,0
-0.0283148269,283.7747484583,0
-0.0283148269,283.7747484583,0
-0.0394394632,295.141187926,0
-0.0394394632,295.141187926,0
-0.027070839,287.5592340149,0
-0.027070839,287.5592340149,0
-0.0382073511,279.9805258033,0
-0.0382073511,279.9805258033,0
-0.027070839,282.2492697176,0
-0.027070839,282.2492697176,0
-0.0394394632,292.8691983122,0
-0.0394394632,292.8691983122,0
-0.0295410011,271.6423239208,0
-0.0295410011,271.6423239208,0
-0.0369633632,292.1032132425,0
-0.0369633632,292.1032132425,0
-0.0431447064,271.6423239208,0
-0.0431447064,271.6423239208,0
-0.0344872632,286.8127231418,0
-0.0344872632,286.8127231418,0
-0.0480879995,270.1363193768,0
-0.0480879995,270.1363193768,0
-0.0369633632,286.0564751704,0
-0.0369633632,286.0564751704,0
-0.0419096253,283.0055176891,0
-0.0419096253,283.0055176891,0
-0.0530342616,287.5592340149,0
-0.0530342616,287.5592340149,0
-0.0369633632,279.9805258033,0
-0.0369633632,279.9805258033,0
-0.0419096253,273.1548198637,0
-0.0419096253,273.1548198637,0
-0.0505581616,279.9870172022,0
-0.0505581616,279.9870172022,0
-0.0332521822,271.6423239208,0
-0.0332521822,271.6423239208,0
-0.0419096253,278.4745212593,0
-0.0419096253,278.4745212593,0
-0.0480879995,270.8925673483,0
-0.0480879995,270.8925673483,0
-0.0468558874,272.3985718922,0
-0.0468558874,272.3985718922,0
-0.0381984443,278.464784161,0
-0.0381984443,278.464784161,0
-0.0443768185,289.840960727,0
-0.0443768185,289.840960727,0
-0.0456118995,268.6108406362,0
-0.0456118995,268.6108406362,0
-0.0505581616,274.6770529049,0
-0.0505581616,274.6770529049,0
-0.0369633632,280.7465108731,0
-0.0369633632,280.7465108731,0
-0.0431447064,269.3800714054,0
-0.0431447064,269.3800714054,0
-0.0431447064,276.1927945472,0
-0.0431447064,276.1927945472,0
-0.0567454427,281.5027588445,0
-0.0567454427,281.5027588445,0
-0.0530342616,275.4365465758,0
-0.0530342616,275.4365465758,0
-0.0530342616,273.1548198637,0
-0.0530342616,273.1548198637,0
-0.0505581616,277.7182732879,0
-0.0505581616,277.7182732879,0
-0.0406656374,270.1363193768,0
-0.0406656374,270.1363193768,0
-0.0369544564,273.9208049335,0
-0.0369544564,273.9208049335,0
