flowobject_from,flowobject_to,classification_from,classification_to,comment,prefixed_id,skos_uri
C_Agavs,1929,bonsai,cpc_2_1,many-to-one correspondence,56c5613a-aa3a-4e32-b62f-a56213e3b256,http://www.w3.org/2004/02/skos/core#broadMatch
C_Alc_food,3413,bonsai,cpc_2_1,one-to-one correspondence,589c9021-e6a6-4dd3-a697-4aa47a38733a,http://www.w3.org/2004/02/skos/core#exactMatch
C_Almod,21422,bonsai,cpc_2_1,one-to-one correspondence,f3bbfa18-e192-4cc5-a1e0-10ca5be547f2,http://www.w3.org/2004/02/skos/core#exactMatch
C_Almol,1371,bonsai,cpc_2_1,one-to-one correspondence,2d06dcd1-e8f4-4b48-b3ef-72a3a4068cae,http://www.w3.org/2004/02/skos/core#exactMatch
C_Anisr,1654,bonsai,cpc_2_1,one-to-one correspondence,0d4712e5-2c43-4f63-8e4c-42864311b18b,http://www.w3.org/2004/02/skos/core#exactMatch
C_Appls,1341,bonsai,cpc_2_1,one-to-one correspondence,cc1e03eb-8aa4-4aa6-be65-3a349827f1b7,http://www.w3.org/2004/02/skos/core#exactMatch
C_Apris,1343,bonsai,cpc_2_1,one-to-one correspondence,72e23027-e494-4aa5-8b26-4ee17e39aea8,http://www.w3.org/2004/02/skos/core#exactMatch
C_Apriy,21419,bonsai,cpc_2_1,many-to-one correspondence,33398d1e-81c2-448e-aa3a-5a8693e23c70,http://www.w3.org/2004/02/skos/core#broadMatch
C_Arecs,1319,bonsai,cpc_2_1,many-to-one correspondence,9377e891-85dc-4796-b1ea-6826ca58c34a,http://www.w3.org/2004/02/skos/core#broadMatch
C_Artis,1216,bonsai,cpc_2_1,one-to-one correspondence,5d6de287-2d47-46a2-98de-f9ea5e783e74,http://www.w3.org/2004/02/skos/core#exactMatch
C_Aspas,1211,bonsai,cpc_2_1,one-to-one correspondence,f3fbee24-95aa-4e6c-bc84-cb2145c0b42a,http://www.w3.org/2004/02/skos/core#exactMatch
C_Avocs,1311,bonsai,cpc_2_1,one-to-one correspondence,e77fe727-04e0-4f13-8d7f-e174be320da9,http://www.w3.org/2004/02/skos/core#exactMatch
C_Bambs,1708,bonsai,cpc_2_1,one-to-one correspondence,e0ae1f16-45bb-4c74-889d-ac7ca8e4d680,http://www.w3.org/2004/02/skos/core#exactMatch
