Belegnummer;Position;Teil;Variante;Wertposition;Satzart;Alternativposition;Menge;Mengeneinheit;Lagerort;Lieferbedingung;Gewicht;Verpackungsgewicht;Wunschtermin;Liefertermin;Transportzeit;Zeiteinheit tt;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;Einzelpreis;wertm R/Z;wertm R/Z 2;wm Rab-/ZuArt;wm Rab-/ZuArt 2;% R/Z;% R/Z 2;% R/Z 3;% Rab-/ZuArt;% Rab-/ZuArt 2;% Rab-/ZuArt 3;Präferenz;offen;Pos ignorieren;Regime;Lagerbewegung;Storniert;Stornierte Pos;Korrigiert;Korrigierte Pos;EKAER-Transporttyp;Korrigiert;Korrigierte Pos;Lagerbewegung;Storniert;Stornierte Pos;abw Besteuerung;steuerpfl Betrag1;steuerpfl Betrag2;steuerpfl Betrag3;steuerpfl Betrag4;steuerpfl Betrag5;steuerpfl Betrag6;Steuerbetrag1;Steuerbetrag2;Steuerbetrag3;Steuerbetrag4;Steuerbetrag5;Steuerbetrag6;Steuerbasis;steuerfrei;Steuersatz1;Steuersatz2;Steuersatz3;Steuersatz4;Steuersatz5;Steuersatz6
0;1;;;no;A;no;0;0;?;0;0;0;today;?;0;4;;;;;0;0;0;;;0;0;0;;;;no;yes;no;0;yes;no;0;no;0;S;no;0;yes;no;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Belegnummer;Document Number;V_BELEGPOS.belegnummer;INTEGER;zzzzzzz9;
2;Position;Line;V_BELEGPOS.positionsnr;DECIMAL;zz9.9;
3;Teil;Part;V_BELEGPOS.artikel;CHARACTER;x(20);
4;Variante;Variant;V_BELEGPOS.ArtVar;CHARACTER;x(6);
5;Wertposition;Value Line;V_BELEGPOS.Wertposition;LOGICAL;Wertposition/;
6;Satzart;Data Segment;V_BELEGPOS.Satzart;CHARACTER;x;
7;Alternativposition;Alternate Line;V_BELEGPOS.AlternativPosition;LOGICAL;ja/nein;
8;Menge;Quantity;V_BELEGPOS.menge;DECIMAL;-zzz,zzz,zz9.999;
9;Mengeneinheit;Unit of Measure;V_BELEGPOS.mengeneinheit;INTEGER;zz9;
10;Lagerort;Storage Area;V_BELEGPOS.lagerort;INTEGER;zzzzzzz9;
11;Lieferbedingung;Terms of Delivery;V_BELEGPOS.lieferbedingung;INTEGER;zz9;
12;Gewicht;Weight;V_BELEGPOS.gewicht;DECIMAL;zzz,zz9.9999;
13;Verpackungsgewicht;Packaging Weight;V_BELEGPOS.gewichtverp;DECIMAL;zzz,zz9.9999;
14;Wunschtermin;Requested Date;V_BELEGPOS.wunschtermin;DATE;99.99.9999;
15;Liefertermin;Delivery Date;V_BELEGPOS.liefertermin;DATE;99.99.9999;
16;Transportzeit;Transport Time;V_BELEGPOS.transportzeit;INTEGER;zzzzz9;
17;Zeiteinheit tt;Time Unit;V_BELEGPOS.zeiteinheit;CHARACTER;9;
18;Bezeichnung1;Additional Description1;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
19;Bezeichnung2;Additional Description2;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
20;Bezeichnung3;Additional Description3;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
21;Bezeichnung4;Additional Description4;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
