Betriebskalender;Bezeichnung;Samstags arbeiten;Sonntags arbeiten;VorlagenkalenderNr
0;;no;no;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Betriebskalender;Company Calendar;S_BetrKalender.Betriebskalender;INTEGER;zzzzzzz9;
2;Bezeichnung;Description Company Calendar;S_BetrKalenderSpr.Bezeichnung;CHARACTER;x(30);
3;Samstags arbeiten;Saturday Work;S_BetrKalender.Samstagsarbeit;LOGICAL;ja/nein;
4;Sonntags arbeiten;Sunday Work;S_BetrKalender.Sonntagsarbeit;LOGICAL;ja/nein;
5;VorlagenkalenderNr;Calendar Template Number;S_BetrKalender.VorlagenKalenderNr;INTEGER;zzzzzzz9;
