Inventarnummer;Bewertungsbereich;Nutzungsdauer;Abschreibungsart;Jahr Saldovortrag;Per Saldovortrag;kum Betrag;kum Betrag;kum Betrag;kum Betrag;kum Betrag;kum Betrag;kum Betrag
;;0;0;?;?;0;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Inventarnummer;Fixed Asset Number;S_Anlage.Anlage;CHARACTER;x(20);
2;Bewertungsbereich;Book;A_AnlageBereich.Bereich;CHARACTER;x(3);
3;Nutzungsdauer;Useful Life;A_AnlageBereich.Nutzungsdauer;INTEGER;zzz9;
4;Abschreibungsart;Depreciation Method;A_AnlageBereich.AfA;INTEGER;zz9;
5;Jahr Saldovortrag;Year Carry-Forward Balance;A_AnlageBereich.SV_BuJahr;DECIMAL;9999;
6;Per Saldovortrag;Posting Period Carry-Forward Balance;A_AnlageBereich.SV_Periode;INTEGER;99;
7;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
8;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
9;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
10;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
11;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
12;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
13;kum Betrag;Accumulated Amount;AB_Vortrag.kumBetrag;DECIMAL;zzz,zzz,zz9.99-;
