Bezeichnung;Bereich;Key1;Key2;Key3;Key4;Key5;Key6;Key7;Key8;Remark;befristet ab;befristet bis;Merkmalsart;Merkmalsleiste;Merkmal;Ausprägung;c_XXXausprauto
;;;;;;;;;;;?;?;;;;;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Bezeichnung;Description Specification;BS_AusprSpr.Bezeichnung;CHARACTER;x(60);
2;Bereich;Category;BB_Bereich.Bereich;CHARACTER;x(6);
3;Key1;;;;;
4;Key2;;;;;
5;Key3;;;;;
6;Key4;;;;;
7;Key5;;;;;
8;Key6;;;;;
9;Key7;;;;;
10;Key8;;;;;
11;Remark;;;;;
12;befristet ab;Limited From;BMT_Note.LimitedFrom;DATE;99.99.9999;
13;befristet bis;Limited To;BMT_Note.LimitedTo;DATE;99.99.9999;
14;Merkmalsart;ClassSystem Type;BS_Zuord.SMArt;CHARACTER;x(3);
15;Merkmalsleiste;Classification System;BS_Zuord.SMLeiste;CHARACTER;x(8);
16;Merkmal;Feature;BS_Zuord.Merkmal;CHARACTER;x(6);
17;Ausprägung;Specification;BS_Zuord.Auspr;CHARACTER;x(20);
18;c_XXXausprauto;;;;;
