Aktivität;Aktivitätenart;Suchbegriff;Produktion/Fremd;Ressourcenart;Basisressource;Melderessource;Rüstaktivität;Rüstzeit;Zeiteinheit tr;Stückzeit;Zeiteinheit te;Zeitmengeneinheit;Zeiteinheit ZR;Intensität;ProdMengenfaktor;Menge Teillos;unterbrechbar;Unterbrechungen;Zeitraum;minimaler Abstand;ZE Zwischenzeit;Ressourcengruppe;Alternativgruppe;RückmeldeKz;Kostenartengruppe;Lohnart;MehrMaschFaktor;# Rückmeldescheine;# Lohnscheine;Prüfplan;NCProgrammNr;Aktivitätenklasse;Teil;Lieferant;Lieferzeit;KonsigLagerort;ZE Lieferzeit;Decimal1;Decimal2;Decimal3;Decimal 21;Decimal 22;Integer1;Integer2;Integer3;Integer4;Integer5;character1;character2;character3;character4;character5;character6;character7;character8;character9;character10;Mengenfaktor;Formel;% Mindestmenge;Überlieferung;Unterlieferung;Prüfungszeitpunkt;Prüfungsart;Gewicht;Lieferzeit/ZME;ZME/LZ;Faktor LME-BME;Listenpreis;stat Warennummer;Herkunft stat WaNr;Preis;wertm R/Z;wertm R/Z 2;% R/Z;% R/Z 2;% R/Z 3;VerpVorschrift;Füllmenge;ProdMengenfaktor;Zeitwahl;Zeit;Zeiteinheit
;0;;no;0;;0;no;0;1;0;1;0;1;1;1;0;no;1;0;0;1;no;;0;;;100;1;1;;;;;0;0;?;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;100;100;None;LotSize;0;0;0;1;yes;;1;0;0;0;0;0;0;;0;1;no;0;1
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Aktivität;Operation;M_Aktivitaet.Aktivitaet;CHARACTER;x(20);
2;Aktivitätenart;Operation Category;M_Aktivitaet.AktArt;INTEGER;99;
3;Suchbegriff;Search Term;M_Aktivitaet.Suchbegriff;CHARACTER;x(12);
4;Produktion/Fremd;Operation Production Coupled with External Operation;M_Aktivitaet.verbunden;LOGICAL;ja/nein;
5;Ressourcenart;Basic Resource Category;M_Aktivitaet.BasisRessArt;INTEGER;99;
6;Basisressource;Basic Resource;M_Aktivitaet.BasisRessource;CHARACTER;x(20);
7;Melderessource;Reporting Resource;M_Aktivitaet.RessPos;INTEGER;zzz9;
8;Rüstaktivität;Setup Operation;M_Aktivitaet.Ruestaktivitaet;LOGICAL;ja/nein;
9;Rüstzeit;Setup Time (ts);M_Aktivitaet.TR;DECIMAL;zzz,zz9.99;
10;Zeiteinheit tr;Time Unit ts;M_Aktivitaet.ZeitEinheitTr;CHARACTER;9;
11;Stückzeit;Unit Time (tu);M_Aktivitaet.TE;DECIMAL;zzz,zz9.99;
12;Zeiteinheit te;Time Unit tu;M_Aktivitaet.ZeitEinheitTe;CHARACTER;9;
13;Zeitmengeneinheit;Time Unit of Measure;M_Aktivitaet.ZeitMengenEinheit;INTEGER;zz9;
14;Zeiteinheit ZR;Period Time Unit;M_Aktivitaet.ZeitEinheitZeitraum;CHARACTER;9;
15;Intensität;Basic Intensity;M_Aktivitaet.BasisIntensitaet;DECIMAL;zzz,zz9.99;
16;ProdMengenfaktor;Proportional Work Order Quantity per Operation;M_Aktivitaet.ProdMngFaktor;DECIMAL;zzz,zz9.9999999;
17;Menge Teillos;Quantity Sublot;M_Aktivitaet.MengeTeillos;INTEGER;zzz,zz9;
18;unterbrechbar;Interruptible;M_Aktivitaet.Unterbrechbar;LOGICAL;ja/nein;
19;Unterbrechungen;Number of Interruptions;M_Aktivitaet.AnzahlUnterbrechungen;INTEGER;zz9;
20;Zeitraum;Period in Days;M_Aktivitaet.Zeitraum;DECIMAL;zzz,zz9.99;
21;minimaler Abstand;Min Interval Time;M_Aktivitaet.minZwischenZeit;DECIMAL;zzz,zz9.99;
22;ZE Zwischenzeit;Time Unit Intermediate Time;M_Aktivitaet.ZwischenzeitZE;CHARACTER;9;
23;Ressourcengruppe;Resource Group;M_Aktivitaet.RessGruppe;LOGICAL;ja/nein;
24;Alternativgruppe;Alternate Group;M_Aktivitaet.AltGruppe;CHARACTER;x(20);
25;RückmeldeKz;Data Entry ID;M_Aktivitaet.RueckmeldeKz;INTEGER;z9;
26;Kostenartengruppe;Cost Item Group;M_Aktivitaet.KostenArtenGruppe;CHARACTER;x(6);
27;Lohnart;Labor Category;M_Aktivitaet.LohnArt;CHARACTER;x(3);
28;MehrMaschFaktor;Proportional Working Time per Machine;M_Aktivitaet.MehrMaschFaktor;DECIMAL;zz9%;
29;# Rückmeldescheine;Number of Prints Data Entry Tag;M_Aktivitaet.AnzahlRMS;INTEGER;zz9;
