Belegnummer;Position;Teil;Variante;Rückmeldenummer;Auftragsstatus;Auftragskennung;Serviceteil;Service Part Mat;Service Part (Costs);Menge;Mengeneinheit;Seriennummer;SNRArt;Prozess;Kostenträger;Object Material;Object Costs;Wunschtermin;Herkunftsbelegart;Schlüssel;Einzelpreis;Fakturakennzeichen;wertm R/Z;wm Rab-/ZuArt;wertm R/Z 2;wm Rab-/ZuArt 2;% R/Z;% Rab-/ZuArt;% R/Z 2;% Rab-/ZuArt 2;% R/Z 3;% Rab-/ZuArt 3;Einzelpreis Mat;Berechnung Mat;wertm R/Z Mat;wm Rab-/ZuArt;wertm R/Z Mat 2;wm Rab-/ZuArt 2;% R/Z;% Rab-/ZuArt;% R/Z 2;% Rab-/ZuArt 2;% R/Z 3;% Rab-/ZuArt 3;Einzelpreis Kosten;Berechnung Ko;wertm R/Z Ko;wm Rab-/ZuArt;wertm R/Z Ko 2;wm Rab-/ZuArt 2;% R/Z;% Rab-/ZuArt;% R/Z 2;% Rab-/ZuArt 2;% R/Z 3;% Rab-/ZuArt 3;steuerfrei;abw Besteuerung;steuerpfl Betrag1;steuerpfl Betrag2;steuerpfl Betrag3;steuerpfl Betrag4;steuerpfl Betrag5;steuerpfl Betrag6;Steuerbetrag1;Steuerbetrag2;Steuerbetrag3;Steuerbetrag4;Steuerbetrag5;Steuerbetrag6;Steuerbasis;Steuersatz1;Steuersatz2;Steuersatz3;Steuersatz4;Steuersatz5;Steuersatz6;stf MatPausch;abwBst MatPausch;stpflBtr MatPausch1;stpflBtr MatPausch2;stpflBtr MatPausch3;stpflBtr MatPausch4;stpflBtr MatPausch5;stpflBtr MatPausch6;StBtr MatPausch1;StBtr MatPausch2;StBtr MatPausch3;StBtr MatPausch4;StBtr MatPausch5;StBtr MatPausch6;StBas MatPausch;StSatz MatPausch1;StSatz MatPausch2;StSatz MatPausch3;StSatz MatPausch4;StSatz MatPausch5;StSatz MatPausch6;stf KoPausch;abwBst KoPausch;stpflBtr KoPausch1;stpflBtr KoPausch2;stpflBtr KoPausch3;stpflBtr KoPausch4;stpflBtr KoPausch5;stpflBtr KoPausch6;StBtr KoPausch1;StBtr KoPausch2;StBtr KoPausch3;StBtr KoPausch4;StBtr KoPausch5;StBtr KoPausch6;StBas KoPausch;StSatz KoPausch1;StSatz KoPausch2;StSatz KoPausch3;StSatz KoPausch4;StSatz KoPausch5;StSatz KoPausch6
0;1;;;0;B;0;;;;0;0;;;;;;;today;?;;0;0;0;;0;;0;;0;;0;;0;0;0;;0;;0;;0;;0;;0;0;0;;0;;0;;0;;0;;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Belegnummer;Document Number;VS_AuftragPos.BelegNummer;INTEGER;zzzzzzz9;
2;Position;Line;VS_AuftragPos.PositionsNr;INTEGER;zz9;
3;Teil;Part Maintenance;VS_AuftragPos.ArtikelWartung;CHARACTER;x(20);
4;Variante;Variant Maintenance;VS_AuftragPos.ArtVarWartung;CHARACTER;x(6);
5;Rückmeldenummer;Data Entry Number;VS_AuftragPos.RueckMeldeNr;INTEGER;zzzzzzz9;
6;Auftragsstatus;Order Status;VS_AuftragPos.Auftragsstatus;CHARACTER;x(2);
7;Auftragskennung;Order ID;VS_AuftragPos.Auftragskennung;INTEGER;z9;
8;Serviceteil;Service Part;VS_AuftragPos.Artikel;CHARACTER;x(20);
9;Service Part Mat;Mat Part;VS_AuftragPos.Mat_Artikel;CHARACTER;x(20);
10;Service Part (Costs);Costs Part;VS_AuftragPos.Kost_Artikel;CHARACTER;x(20);
11;Menge;Quantity;VS_AuftragPos.Menge;DECIMAL;-zzz,zzz,zz9.999;
12;Mengeneinheit;Unit of Measure;VS_AuftragPos.MengenEinheit;INTEGER;zz9;
13;Seriennummer;Serial Number;VS_AuftragPos.Seriennummer;CHARACTER;x(20);
14;SNRArt;Serial Number Category;VS_AuftragPos.SNRArt;CHARACTER;x(6);
15;Prozess;Routing;VS_Serviceplan.Prozess;CHARACTER;x(20);
16;Kostenträger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
17;Object Material;;;;;
18;Object Costs;;;;;
19;Wunschtermin;Requested Date;VS_AuftragPos.Wunschtermin;DATE;99.99.9999;
20;Herkunftsbelegart;Source Document Type;VS_AuftragPos.Herk_BelegArt;CHARACTER;x(3);
21;Schlüssel;Origin Key;VS_AuftragPos.Herk_Schluessel;CHARACTER;x(30);
22;Einzelpreis;Unit Price;VS_AuftragPos.Einzelpreis;DECIMAL;z,zzz,zz9.99-;
23;Fakturakennzeichen;Billing;VS_AuftragPos.Berechnung;INTEGER;z9;
24;wertm R/Z;Value Discount/Surcharge 1;VS_AuftragPos.Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
25;wm Rab-/ZuArt;Type of Value Discount/Surcharge 1;VS_AuftragPos.Wert_RZ_Art_1;CHARACTER;x(3);
26;wertm R/Z 2;Value Discount/Surcharge 2;VS_AuftragPos.Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
27;wm Rab-/ZuArt 2;Type of Value Discount/Surcharge 2;VS_AuftragPos.Wert_RZ_Art_2;CHARACTER;x(3);
28;% R/Z;Percentage Discount/Surcharge 1;VS_AuftragPos.proz_RZ_1;DECIMAL;-z9.99%;
29;% Rab-/ZuArt;Type of Percentage Discount/Surcharge 1;VS_AuftragPos.proz_RZ_Art_1;CHARACTER;x(3);
30;% R/Z 2;Percentage Discount/Surcharge 2;VS_AuftragPos.proz_RZ_2;DECIMAL;-z9.99%;
31;% Rab-/ZuArt 2;Type of Percentage Discount/Surcharge 2;VS_AuftragPos.proz_RZ_Art_2;CHARACTER;x(3);
32;% R/Z 3;Percentage Discount/Surcharge 3;VS_AuftragPos.proz_RZ_3;DECIMAL;-z9.99%;
33;% Rab-/ZuArt 3;Type of Percentage Discount/Surcharge 3;VS_AuftragPos.proz_RZ_Art_3;CHARACTER;x(3);
34;Einzelpreis Mat;Material Unit Price;VS_AuftragPos.Mat_Einzelpreis;DECIMAL;z,zzz,zz9.99-;
35;Berechnung Mat;Material Calculation;VS_AuftragPos.Mat_Berechnung;INTEGER;z9;
36;wertm R/Z Mat;Value Discount/Surcharge 1 Material;VS_AuftragPos.Mat_Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
37;wm Rab-/ZuArt;Type Value Discount/Surcharge 1 Material;VS_AuftragPos.Mat_Wert_RZ_Art_1;CHARACTER;x(3);
38;wertm R/Z Mat 2;Value Discount/Surcharge 2 Material;VS_AuftragPos.Mat_Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
39;wm Rab-/ZuArt 2;Type Value Discount/Surcharge 2 Material;VS_AuftragPos.Mat_Wert_RZ_Art_2;CHARACTER;x(3);
40;% R/Z;% Discount/Surcharge 1 Material;VS_AuftragPos.Mat_proz_RZ_1;DECIMAL;-z9.99%;
41;% Rab-/ZuArt;Type % Disc/Surcharge 1 Material;VS_AuftragPos.Mat_proz_RZ_Art_1;CHARACTER;x(3);
42;% R/Z 2;% Discount/Surcharge 2 Material;VS_AuftragPos.Mat_proz_RZ_2;DECIMAL;-z9.99%;
43;% Rab-/ZuArt 2;Type % Disc/Surcharge 2 Material;VS_AuftragPos.Mat_proz_RZ_Art_2;CHARACTER;x(3);
44;% R/Z 3;% Discount/Surcharge 3 Material;VS_AuftragPos.Mat_proz_RZ_3;DECIMAL;-z9.99%;
45;% Rab-/ZuArt 3;Type % Disc/Surcharge 3 Material;VS_AuftragPos.Mat_proz_RZ_Art_3;CHARACTER;x(3);
46;Einzelpreis Kosten;Cost Unit Price;VS_AuftragPos.Kost_Einzelpreis;DECIMAL;z,zzz,zz9.99-;
47;Berechnung Ko;Cost Calculation;VS_AuftragPos.Kost_Berechnung;INTEGER;z9;
48;wertm R/Z Ko;Value Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
49;wm Rab-/ZuArt;Type Value Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_Wert_RZ_Art_1;CHARACTER;x(3);
50;wertm R/Z Ko 2;Value Discount/Surcharge 2 Costs;VS_AuftragPos.Kost_Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
51;wm Rab-/ZuArt 2;Type Value Discount/Surcharge 2 Costs;VS_AuftragPos.Kost_Wert_RZ_Art_2;CHARACTER;x(3);
52;% R/Z;% Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_proz_RZ_1;DECIMAL;-z9.99%;
53;% Rab-/ZuArt;Type % Discount/Surcharge 1 Costs;VS_AuftragPos.Kost_proz_RZ_Art_1;CHARACTER;x(3);
54;% R/Z 2;% Discount/Surcharge 2 Costs;VS_AuftragPos.Kost_proz_RZ_2;DECIMAL;-z9.99%;
