Table ID;Key 1;Key 2;Identifikationsart;FormatID;Identnummer;gültig ab;gültig bis
;;;0;0;;today;?
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Table ID;;;;;
2;Key 1;;;;;
3;Key 2;;;;;
4;Identifikationsart;Number of Identification Type;BMM_UniqueIdType.BMM_UniqueIdType_ID;INTEGER;zzzz9;
5;FormatID;Identification Number of Format;BMM_UniqueIdFormat.BMM_UniqueIdFormat_ID;INTEGER;zzz9;
6;Identnummer;IdentNumber;BMT_UniqueIdNumber.IdNumber;CHARACTER;x(30);
7;gültig ab;Valid From;BMT_UniqueIdNumber.ValidFrom;DATE;99.99.9999;
8;gültig bis;Valid Until;BMT_UniqueIdNumber.ValidTo;DATE;99.99.9999;
