Unnamed: 0,time,well,value,serial_number,plate_number,sample_number,row,column,replicate_number,name,substrate_concentration,enzyme_concentration,sample_type
0,6,I1,314.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
1,26,I1,320.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
2,46,I1,328.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
3,66,I1,331.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
4,86,I1,337.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
5,106,I1,342.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
6,126,I1,349.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
7,146,I1,356.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
8,166,I1,364.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
9,186,I1,372.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
10,206,I1,381.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
11,226,I1,391.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
12,246,I1,396.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
13,266,I1,406.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
14,286,I1,417.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
15,306,I1,426.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
16,326,I1,434.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
17,346,I1,445.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
18,366,I1,455.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
19,386,I1,465.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
20,406,I1,474.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
21,426,I1,484.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
22,446,I1,496.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
23,466,I1,506.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
24,486,I1,516.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
25,506,I1,524.0,21062324,1,1,I,1,1,dad_t1_cys,100.0,0.05,sample
26,6,I2,313.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
27,26,I2,319.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
28,46,I2,319.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
29,66,I2,332.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
30,86,I2,337.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
31,106,I2,339.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
32,126,I2,349.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
33,146,I2,356.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
34,166,I2,363.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
35,186,I2,372.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
36,206,I2,376.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
37,226,I2,387.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
38,246,I2,399.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
39,266,I2,405.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
40,286,I2,413.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
41,306,I2,423.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
42,326,I2,438.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
43,346,I2,438.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
44,366,I2,453.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
45,386,I2,464.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
46,406,I2,474.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
47,426,I2,485.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
48,446,I2,491.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
49,466,I2,506.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
50,486,I2,513.0,21062324,1,9,I,2,2,dad_t1_cys,100.0,0.05,sample
