# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.418973310691e-10       2.172104676903e-15       1.961028473052e-13       4.064389362678e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.086234464943e-10       2.034506030350e-15       3.334163960621e-14       3.826742587247e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.769928440037e-11       1.670806032042e-15      -1.441427928643e-14       3.099967582416e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.322798204898e-11       1.194252389071e-15      -2.702226139213e-14       2.255065388837e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.067041984537e-11       7.845623965914e-16      -2.882032337608e-14       1.524569182936e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.909616406363e-11       5.270266592884e-16      -2.803978369219e-14       1.003538047968e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.804827829739e-11       4.216617562993e-16      -2.775545534741e-14       6.951744192887e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.728450098541e-11       4.269210115713e-16      -2.880820157451e-14       5.576872004923e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.666977855384e-11       4.956263668073e-16      -3.118228533381e-14       5.384489867618e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.612872953476e-11       5.944166092505e-16      -3.461450609185e-14       5.910544847224e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.562017250205e-11       7.056712460472e-16      -3.882959022937e-14       6.829485866900e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.512117053043e-11       8.233343260487e-16      -4.363915937467e-14       7.944920255457e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.461844359899e-11       9.464734729535e-16      -4.894675231309e-14       9.160510250113e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.410434714233e-11       1.075753699793e-15      -5.470054002471e-14       1.043663160862e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.357474132566e-11       1.211544798614e-15      -6.087809584809e-14       1.176184485868e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.302761884999e-11       1.353604023976e-15      -6.747543702213e-14       1.313525394260e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.245624281296e-11       1.501621094714e-15      -7.447980355630e-14       1.455636741450e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.187872962704e-11       1.655268552734e-15      -8.187907137921e-14       1.602476595219e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.127608448229e-11       1.814260824937e-15      -8.965323211697e-14       1.754092377140e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.065916090136e-11       1.978541709671e-15      -9.777813716204e-14       1.910329015539e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       8.002247403938e-11       2.148202350269e-15      -1.062232944129e-13       2.070976145011e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.937359823133e-11       2.323384530616e-15      -1.149653129346e-13       2.235760554220e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.870638108087e-11       2.504250397961e-15      -1.239791930687e-13       2.404398424654e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.802676504321e-11       2.690714056690e-15      -1.332368995667e-13       2.576638582189e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.733132763863e-11       2.882561105735e-15      -1.427082379459e-13       2.752259235649e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.662252409272e-11       3.079388614058e-15      -1.523711972911e-13       2.931087485302e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.589627586641e-11       3.280735359435e-15      -1.622054440870e-13       3.112958619509e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.516050097811e-11       3.486353361879e-15      -1.721898084252e-13       3.297601527039e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.441603890670e-11       3.696061685072e-15      -1.823020562249e-13       3.484702941338e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.365456510728e-11       3.909672948040e-15      -1.925195439550e-13       3.673949364741e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.288132398457e-11       4.126947830969e-15      -2.028219008889e-13       3.865082094811e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.209862113005e-11       4.347622443122e-15      -2.131894000106e-13       4.057863095239e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.130260312143e-11       4.571445156783e-15      -2.236026743256e-13       4.252057828980e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       7.049662206823e-11       4.798266988474e-15      -2.340439724724e-13       4.447423092986e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.968103486087e-11       5.027984504068e-15      -2.444964665595e-13       4.643715407258e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.885230775313e-11       5.260484473198e-15      -2.549429951629e-13       4.840691695104e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.801473024146e-11       5.495530038529e-15      -2.653626037525e-13       5.038099956618e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.717155800634e-11       5.732836570660e-15      -2.757329047693e-13       5.235685587081e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.632124278748e-11       5.972100616155e-15      -2.860309985766e-13       5.433193826568e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.545979680816e-11       6.213043795690e-15      -2.962377435516e-13       5.630363049173e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.459000375958e-11       6.455564512991e-15      -3.063522427820e-13       5.826902101417e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.371437170014e-11       6.699633652406e-15      -3.163820700502e-13       6.022505518037e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.283223780452e-11       6.945255654459e-15      -3.263396913093e-13       6.216859064976e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.194147542559e-11       7.192406418280e-15      -3.362347697700e-13       6.409652162709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.104492971432e-11       7.440820367553e-15      -3.460476534634e-13       6.600620757105e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       6.014539647520e-11       7.690142976317e-15      -3.557484555501e-13       6.789516419338e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
