# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 8.45796 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537785620e+01 
       2.326967407118e-05       1.050301993481e+02 
       3.616373025385e-05       1.608007248734e+02 
       4.913726151694e-05       2.162189302225e+02 
       6.222535674519e-05       2.716142630157e+02 
       7.546398425925e-05       3.272359965171e+02 
       8.889031306114e-05       3.832988552736e+02 
       1.025430482400e-04       4.400017030482e+02 
       1.164627848241e-04       4.975371894508e+02 
       1.306923843984e-04       5.560976323113e+02 
       1.452773788140e-04       6.158790944120e+02 
       1.602664052592e-04       6.770846013671e+02 
       1.757116767896e-04       7.399269552651e+02 
       1.916694920592e-04       8.046311240615e+02 
       2.082007873531e-04       8.714369342052e+02 
       2.253717329846e-04       9.406012623894e+02 
       2.432543744979e-04       1.012400566282e+03 
       2.619273167265e-04       1.087133361935e+03 
       2.814764453069e-04       1.165122716990e+03 
       3.019956754356e-04       1.246718487177e+03 
       3.235877111086e-04       1.332300007526e+03 
       3.463647893982e-04       1.422277907948e+03 
       3.704493731400e-04       1.517095905782e+03 
       3.959747414598e-04       1.617232121301e+03 
       4.230854108700e-04       1.723199069911e+03 
       4.519373007024e-04       1.835542979320e+03 
       4.826975366868e-04       1.954841193342e+03 
       5.155437679602e-04       2.081697449718e+03 
       5.506628596178e-04       2.216734949448e+03 
       5.882488207355e-04       2.360585692541e+03 
       6.284998437510e-04       2.513877628693e+03 
       6.716143729589e-04       2.677216613097e+03 
       7.177861941321e-04       2.851166726953e+03 
       7.671986460617e-04       3.036226415996e+03 
       8.200181922824e-04       3.232804197565e+03 
       8.763877404929e-04       3.441192755433e+03 
       9.364202297721e-04       3.661547737827e+03 
       1.000193085873e-03       3.893868675278e+03 
       1.067744139097e-03       4.137987792166e+03 
       1.139069488995e-03       4.393567871454e+03 
       1.214123592691e-03       4.660107787817e+03 
       1.292821585146e-03       4.936959387044e+03 
       1.375043566260e-03       5.223329077939e+03 
       1.460640369998e-03       5.518344038042e+03 
       1.549440206739e-03       5.821085686022e+03 
       1.641255555047e-03       6.130580317187e+03 
       1.735889757970e-03       6.445844269254e+03 
       1.833142917693e-03       6.765908407901e+03 
       1.932816842085e-03       7.089836969226e+03 
       2.034718945141e-03       7.416741506297e+03 
       2.138665120595e-03       7.745790700461e+03 
       2.244481687023e-03       8.076216538809e+03 
       2.352006545691e-03       8.407317459059e+03 
       2.461089706729e-03       8.738457088915e+03 
       2.571593333874e-03       9.069063288705e+03 
       2.683391441209e-03       9.398624009393e+03 
       2.796369353385e-03       9.726684586474e+03 
       2.910423018044e-03       1.005284227152e+04 
       3.025458238157e-03       1.037674326651e+04 
       3.141389873900e-03       1.069807564759e+04 
       3.258141048979e-03       1.101656842082e+04 
       3.375642384775e-03       1.133198415946e+04 
       3.493831276973e-03       1.164411810296e+04 
       3.612651222911e-03       1.195279200284e+04 
       3.732051203381e-03       1.225785475488e+04 
       3.851985119443e-03       1.255917532484e+04 
       3.972411282778e-03       1.285664551587e+04 
       4.093291956816e-03       1.315017019665e+04 
       4.214592945137e-03       1.343967585080e+04 
       4.336283223305e-03       1.372509661672e+04 
       4.458334610212e-03       1.400638569105e+04 
       4.580721475085e-03       1.428350116408e+04 
       4.703420476514e-03       1.455640729254e+04 
       4.826410330102e-03       1.482504575535e+04 
       4.949671601620e-03       1.508949834736e+04 
       5.073186522822e-03       1.534967992631e+04 
       5.196938827396e-03       1.560560947520e+04 
       5.320913604738e-03       1.585732637677e+04 
       5.445097169534e-03       1.610484529776e+04 
       5.569476945340e-03       1.634811607640e+04 
       5.694041360547e-03       1.658644092690e+04 
       5.818779755339e-03       1.682130567675e+04 
       5.943682298366e-03       1.705199722669e+04 
       6.068739912061e-03       1.727849087485e+04 
       6.193944205599e-03       1.750094648362e+04 
       6.319287414666e-03       1.771946013837e+04 
       6.444762347267e-03       1.793409560229e+04 
       6.570362334913e-03       1.814419634904e+04 
       6.696081188603e-03       1.835038976111e+04 
       6.821913159065e-03       1.855257470077e+04 
       6.947852900830e-03       1.875091331568e+04 
       7.073895439691e-03       1.894536241434e+04 
       7.200036143231e-03       1.913590816217e+04 
       7.326270694071e-03       1.932263150199e+04 
       7.452595065570e-03       1.950541306325e+04 
       7.579005499726e-03       1.968463160794e+04 
       7.705498487058e-03       1.986062003430e+04 
       7.832070748261e-03       2.003240283907e+04 
       7.958719217469e-03       2.020051766411e+04 
       8.085441026969e-03       2.036502251968e+04 
       8.212233493217e-03       2.052600893375e+04 
       8.339094104040e-03       2.068344227003e+04 
       8.466020506906e-03       2.083737024691e+04 
       8.593010498167e-03       2.098784151523e+04 
       8.720062013184e-03       2.113489576649e+04 
       8.847173117248e-03       2.127856581442e+04 
       8.974341997231e-03       2.141884424776e+04 
       9.101566953904e-03       2.155584518447e+04 
       9.228846394849e-03       2.168957339442e+04 
       9.356178827935e-03       2.182005352412e+04 
       9.483562855287e-03       2.194734651475e+04 
       9.610997167722e-03       2.207147754161e+04 
       9.738480539603e-03       2.219250909481e+04 
       9.866011824080e-03       2.231034345623e+04 
       9.993589948689e-03       2.242524216536e+04 
       1.012121391127e-02       2.253697561504e+04 
       1.024888277620e-02       2.264577106517e+04 
       1.037659567085e-02       2.275169196948e+04 
       1.050435178240e-02       2.285460129942e+04 
       1.063215035476e-02       2.295456600868e+04 
       1.075999068579e-02       2.305180062066e+04 
       1.088787212472e-02       2.314604398174e+04 
       1.101579406970e-02       2.323762321292e+04 
       1.114375596555e-02       2.332641112517e+04 
       1.127175730171e-02       2.341247663961e+04 
       1.139979761025e-02       2.349583323625e+04 
       1.152787646409e-02       2.357651939355e+04 
       1.165599347531e-02       2.365457977075e+04 
       1.178414829358e-02       2.373004115346e+04 
       1.191234060471e-02       2.380292440268e+04 
       1.204057012930e-02       2.387334598684e+04 
       1.216883662147e-02       2.394105577548e+04 
       1.229713986770e-02       2.400641733926e+04 
       1.242547968574e-02       2.406929136673e+04 
       1.255385592360e-02       2.412978490473e+04 
       1.268226845859e-02       2.418786233392e+04 
       1.281071719650e-02       2.424361929933e+04 
       1.293920207075e-02       2.429697818698e+04 
       1.306772304166e-02       2.434806933033e+04 
       1.319628009576e-02       2.439683472962e+04 
       1.332487324514e-02       2.444339545763e+04 
       1.345350252690e-02       2.448772368679e+04 
       1.358216800256e-02       2.452993672240e+04 
       1.371086975761e-02       2.456984524924e+04 
       1.383960790101e-02       2.460762251670e+04 
       1.396838256483e-02       2.464330755622e+04 
       1.409719390384e-02       2.467692957875e+04 
       1.422604209517e-02       2.470851393881e+04 
       1.435492733802e-02       2.473800870529e+04 
       1.448384985339e-02       2.476549579225e+04 
       1.461280988382e-02       2.479103394751e+04 
       1.474180769318e-02       2.481461252304e+04 
       1.487084356650e-02       2.483626436517e+04 
       1.499991780983e-02       2.485596081395e+04 
       1.512903075006e-02       2.487379788735e+04 
       1.525818273484e-02       2.488977082599e+04 
       1.538737413253e-02       2.490395459098e+04 
       1.551660533208e-02       2.491624550143e+04 
       1.564587674306e-02       2.492684254313e+04 
       1.577518879559e-02       2.493561436114e+04 
       1.590454194039e-02       2.494274065671e+04 
       1.603393664878e-02       2.494807765646e+04 
       1.616337341274e-02       2.495172005012e+04 
       1.629285274500e-02       2.495375356314e+04 
       1.642237517907e-02       2.495405941860e+04 
       1.655194126939e-02       2.495277840426e+04 
       1.668155159146e-02       2.494996584461e+04 
       1.681120674194e-02       2.494551167599e+04 
