Belegnummer;Position;Teil;Variante;Menge;Mengeneinheit;Lagerort;Lieferbedingung;Gewicht;Verpackungsgewicht;Wunschtermin;Liefertermin;Transportzeit;Zeiteinheit tt;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;Einzelpreis;wertm R/Z;wertm R/Z 2;wm Rab-/ZuArt;wm Rab-/ZuArt 2;% R/Z;% R/Z 2;% R/Z 3;% Rab-/ZuArt;% Rab-/ZuArt 2;% Rab-/ZuArt 3;Pos ignorieren;Regime;Lagerbewegung;Storniert;Stornierte Pos;Korrigiert;Korrigierte Pos;EKAER-Transporttyp;Korrigiert;Korrigierte Pos;Lagerbewegung;Storniert;Stornierte Pos;abw Besteuerung;steuerpfl Betrag1;steuerpfl Betrag2;steuerpfl Betrag3;steuerpfl Betrag4;steuerpfl Betrag5;steuerpfl Betrag6;Steuerbetrag1;Steuerbetrag2;Steuerbetrag3;Steuerbetrag4;Steuerbetrag5;Steuerbetrag6;Steuerbasis;steuerfrei;Steuersatz1;Steuersatz2;Steuersatz3;Steuersatz4;Steuersatz5;Steuersatz6
0;1;;;0;0;?;0;0;0;today;?;0;4;;;;;0;0;0;;;0;0;0;;;;no;0;yes;no;0;no;0;S;no;0;yes;no;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Belegnummer;Document Number;V_BELEGPOS.belegnummer;INTEGER;zzzzzzz9;
2;Position;Line;V_BELEGPOS.positionsnr;DECIMAL;zz9.9;
3;Teil;Part;V_BELEGPOS.artikel;CHARACTER;x(20);
4;Variante;Variant;V_BELEGPOS.ArtVar;CHARACTER;x(6);
5;Menge;Quantity;V_BELEGPOS.menge;DECIMAL;-zzz,zzz,zz9.999;
6;Mengeneinheit;Unit of Measure;V_BELEGPOS.mengeneinheit;INTEGER;zz9;
7;Lagerort;Storage Area;V_BELEGPOS.lagerort;INTEGER;zzzzzzz9;
8;Lieferbedingung;Terms of Delivery;V_BELEGPOS.lieferbedingung;INTEGER;zz9;
9;Gewicht;Weight;V_BELEGPOS.gewicht;DECIMAL;zzz,zz9.9999;
10;Verpackungsgewicht;Packaging Weight;V_BELEGPOS.gewichtverp;DECIMAL;zzz,zz9.9999;
11;Wunschtermin;Requested Date;V_BELEGPOS.wunschtermin;DATE;99.99.9999;
12;Liefertermin;Delivery Date;V_BELEGPOS.liefertermin;DATE;99.99.9999;
13;Transportzeit;Transport Time;V_BELEGPOS.transportzeit;INTEGER;zzzzz9;
14;Zeiteinheit tt;Time Unit;V_BELEGPOS.zeiteinheit;CHARACTER;9;
15;Bezeichnung1;Additional Description1;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
16;Bezeichnung2;Additional Description2;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
17;Bezeichnung3;Additional Description3;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
18;Bezeichnung4;Additional Description4;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
19;Einzelpreis;Unit Price;V_BELEGPOS.einzelpreis;DECIMAL;z,zzz,zz9.99-;
20;wertm R/Z;Value Discount/Surcharge 1;V_BELEGPOS.wert_rz_1;DECIMAL;z,zzz,zz9.99-;
21;wertm R/Z 2;Value Discount/Surcharge 2;V_BELEGPOS.wert_rz_2;DECIMAL;z,zzz,zz9.99-;
