Teil;Hersteller;Hersteller-TeileNr;HerstellerTeileBez;Herstellerstatus
;0;;;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Teil;Part;S_ArtHerst.Artikel;CHARACTER;x(20);
2;Hersteller;Manufacturer (Supplier Number);S_ArtHerst.Hersteller;INTEGER;zzzzzzz9;
3;Hersteller-TeileNr;Supplier Part Number;S_ArtHerst.BestellNummer;CHARACTER;x(30);
4;HerstellerTeileBez;MfrDesc;S_ArtHerst.HerstellerBez;CHARACTER;x(30);
5;Herstellerstatus;Manufacturer Status;S_ArtHerst.HstStatus;INTEGER;zz9;
