Ergebniskonto;Suchbegriff;Selektion;Kontenart;Bezeichnung;Verteilergruppe;fixer Anteil;fixer Zuschlag;prop Zuschlag;archiviert;direkt bebuchbar;Bezugskonto
0;;;E;;;100;0;0;no;yes;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Ergebniskonto;Income Account;S_ErgKonto.ErgKonto;INTEGER;zzzzzzzz;
2;Suchbegriff;Search Term;S_ErgKonto.Suchbegriff;CHARACTER;x(12);
3;Selektion;Selection;S_ErgKonto.Selektion;CHARACTER;x(20);
4;Kontenart;Account Category;S_ErgKonto.Art;CHARACTER;!;
5;Bezeichnung;Description Income Account;S_ErgKontoSpr.Bezeichnung;CHARACTER;x(70);
6;Verteilergruppe;Work Group;BBM_WflWorkGroup.BBM_WflWorkGroup_ID;CHARACTER;x(6);
7;fixer Anteil;Fixed;S_ErgKonto.Fix;DECIMAL;zz9.99%;
8;fixer Zuschlag;Fixed Surcharge;S_ErgKonto.FixZuschlag;DECIMAL;zz9.99-%;
9;prop Zuschlag;Proportional Surcharge;S_ErgKonto.PropZuschlag;DECIMAL;zz9.99-%;
10;archiviert;Archived;S_ErgKonto.Archived;LOGICAL;ja/nein;
11;direkt bebuchbar;Directly Postable;S_ErgKonto.Direkt_Bebuchbar;LOGICAL;ja/nein;
12;Bezugskonto;Reference Account;S_ErgKonto.BezugsKonto;INTEGER;zzzzzzzz;
