VerpVorschrift;Bemerkung;Suchbegriff;Bezeichnung;PrKat Verpackung
;;;;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;VerpVorschrift;Packaging Instruction;M_PackVorschrift.Vorschrift;CHARACTER;x(20);
2;Bemerkung;Remarks;M_PackVorschrift.Bemerkung;CHARACTER;x(255);
3;Suchbegriff;Search Term;M_PackVorschrift.Suchbegriff;CHARACTER;x(12);
4;Bezeichnung;Description;M_PackVorschriftSpr.Bezeichnung;CHARACTER;x(30);
5;PrKat Verpackung;Price Catalog;M_PackVorschrift.uCA_PriceID;CHARACTER;X(8);
